Stock	Total Shares	Current Price	Value	Cost Basis	Gain/Loss
EOSE	1000.00	1.11	1105.00	1852.33	-747.33
F	336.58	11.15	3752.83	2838.11	914.72
XLV	22.45	133.44	2995.39	2502.47	492.92
XLK	20.25	189.22	3830.74	2536.62	1294.12
XLP	37.19	70.82	2633.66	2543.21	90.45
CSX	82.37	33.24	2738.39	2280.66	457.73
SPIR	80.00	7.14	571.20	892.00	-320.80
GOOGL	100.00	132.18	13217.95	11100.39	2117.56
AMZN	100.00	146.99	14699.00	10598.24	4100.76
ORTX	80.00	16.33	1306.40	390.56	915.84
MRVL	100.67	54.16	5452.23	5973.63	-521.40
JBL	100.50	120.83	12143.66	5720.98	6422.68
QCLN	86.62	37.17	3219.83	5361.28	-2141.45
CLSD	500.00	0.94	470.00	624.50	-154.50
ANEFX	21.46	54.00	1158.89	1393.10	-234.21
BRK-B	24.00	359.96	8639.04	7800.00	839.04
NKE	30.00	119.57	3586.95	3370.88	216.07
