Stock	Total Shares	Current Price	Value	Cost Basis	Gain/Loss
EOSE	1000.00	0.96	956.00	1852.33	-896.33
F	336.58	12.12	4079.31	2853.31	1226.01
XLV	22.45	146.35	3285.12	2528.05	757.07
XLK	20.25	206.77	4186.06	2552.47	1633.59
XLP	37.19	75.55	2809.55	2581.34	228.21
CSX	82.37	38.04	3133.35	2321.07	812.29
SPIR	80.00	11.90	952.00	892.00	60.00
GOOGL	100.00	137.67	13767.00	11100.39	2666.61
AMZN	100.00	171.96	17196.00	10598.24	6597.76
MRVL	100.67	72.36	7284.41	5985.72	1298.69
JBL	100.50	147.90	14864.25	5729.02	9135.23
QCLN	86.62	35.24	3052.67	5370.65	-2317.99
CLSD	500.00	2.02	1010.00	624.50	385.50
ANEFX	21.46	58.87	1263.41	1438.96	-175.55
FCX	51.23	40.43	2071.07	2028.56	42.51
CDLR	200.00	16.84	3368.00	3662.00	-294.00
